Target;Source
opportunitas;Alanus, Maurit
ops;Maurit, Petrus
orbis;Alanus, Angel
organum;Alanus, Angel
ostium;Alanus, Angel
ouilis;Alanus, Angel
pacificus;Angel, Biard
pactum;Alanus, Maurit
palea;Alanus, Angel
paliurus;Alanus, Angel
palmes;Alanus, Angel
parco;Alanus, Maurit
pardus;Alanus, Angel
parens;Biard, Petrus
parturio;Alanus, Biard
parum;Alanus, Biard
pascha;Alanus, Petrus
pasco;Alanus, Biard
pascuum;Alanus, Maurit
pastus;Angel, Maurit
paupertas;Maurit, Petrus
pecunia;Alanus, Biard
pecus;Alanus, Angel
penna;Alanus, Angel
percutio;Alanus, Petrus
perdix;Alanus, Angel
permitto;Alanus, Biard
persecutor;Biard, Petrus
pharetra;Alanus, Maurit
pietas;Alanus, Maurit
pilus;Alanus, Angel
pinguedo;Alanus, Maurit
piscina;Alanus, Angel
placo;Maurit, Petrus
planta;Alanus, Angel
platanus;Alanus, Angel
platea;Alanus, Angel
pleiades;Alanus, Angel
plenus;Alanus, Biard
ploro;Gorran, Maurit
plumbum;Alanus, Angel
polluo;Alanus, Petrus
pomum;Alanus, Angel
populus;Alanus, Petrus
postulatio;Maurit, Petrus
postulo;Alanus, Petrus
potestas;Alanus, Petrus
potus;Alanus, Maurit
praecedo;Biard, Maurit
praelatus;Biard, Petrus
praesens;Biard, Petrus
preceptum;Gorran, Petrus
predestinatio;Alanus, Petrus
predicatio;Biard, Petrus
predicator;Biard, Petrus
prelatus;Biard, Petrus
prelium;Alanus, Maurit
pretium;Maurit, Petrus
prex;Biard, Maurit
primitie;Alanus, Maurit
primus;Alanus, Petrus
principatus;Alanus, Maurit
principium;Alanus, Petrus
probo;Alanus, Biard
profundum;Alanus, Petrus
promissio;Guido, Maurit
proximus;Alanus, Biard
pruina;Alanus, Angel
pruna;Alanus, Angel
psalmus;Alanus, Petrus
pulchritudo;Alanus, Biard
pulcritudo;Gorran, Maurit
pullus;Alanus, Angel
pupilla;Alanus, Angel
pupillus;Alanus, Angel
purgo;Alanus, Petrus
purus;Biard, Petrus
quadrans;Alanus, Angel
quadriga;Alanus, Angel
quadruplex;Alanus, Biard
quatuor;Biard, Petrus
quercus;Alanus, Angel
quiesco;Maurit, Petrus
quinque;Biard, Petrus
rana;Alanus, Angel
rapio;Alanus, Biard
recipio;Maurit, Petrus
