,lemma,source,collection_count,is_unique
358,Galea,anonymous_angelus.predicted_лем.csv,2.0,False
359,glacies,anonymous_angelus.predicted_лем.csv,1.0,True
360,gladius,anonymous_angelus.predicted_лем.csv,6.0,False
361,glarea,anonymous_angelus.predicted_лем.csv,1.0,True
362,gradus,anonymous_angelus.predicted_лем.csv,5.0,False
363,gramen,anonymous_angelus.predicted_лем.csv,1.0,True
364,granum,anonymous_angelus.predicted_лем.csv,3.0,False
365,grando,anonymous_angelus.predicted_лем.csv,2.0,False
366,gazophylacium,anonymous_angelus.predicted_лем.csv,2.0,False
367,Gelus,anonymous_angelus.predicted_лем.csv,1.0,True
368,Gena,anonymous_angelus.predicted_лем.csv,1.0,True
369,genuum,anonymous_angelus.predicted_лем.csv,3.0,False
370,generatio,anonymous_angelus.predicted_лем.csv,5.0,False
371,gens,anonymous_angelus.predicted_лем.csv,4.0,False
372,Gleba,anonymous_angelus.predicted_лем.csv,1.0,True
373,grex,anonymous_angelus.predicted_лем.csv,4.0,False
374,gredior,anonymous_angelus.predicted_лем.csv,3.0,False
375,gibbus,anonymous_angelus.predicted_лем.csv,1.0,True
376,Gigae,anonymous_angelus.predicted_лем.csv,3.0,False
377,Gomor,anonymous_angelus.predicted_лем.csv,1.0,True
378,Gurges,anonymous_angelus.predicted_лем.csv,2.0,False
379,gurgustium,anonymous_angelus.predicted_лем.csv,2.0,False
380,guttur,anonymous_angelus.predicted_лем.csv,3.0,False
381,gutta,anonymous_angelus.predicted_лем.csv,2.0,False
382,Galilaea,anonymous_angelus.predicted_лем.csv,1.0,True
383,Hamus,anonymous_angelus.predicted_лем.csv,2.0,False
384,Hastilus,anonymous_angelus.predicted_лем.csv,1.0,True
385,Hasta,anonymous_angelus.predicted_лем.csv,2.0,False
386,habitaculum,anonymous_angelus.predicted_лем.csv,2.0,False
387,halitus,anonymous_angelus.predicted_лем.csv,1.0,True
388,Harundus,anonymous_angelus.predicted_лем.csv,1.0,True
389,Harena,anonymous_angelus.predicted_лем.csv,3.0,False
390,Herba,anonymous_angelus.predicted_лем.csv,3.0,False
391,Hereses,anonymous_angelus.predicted_лем.csv,2.0,False
392,hereticus,anonymous_angelus.predicted_лем.csv,2.0,False
393,Haedus,anonymous_angelus.predicted_лем.csv,1.0,True
394,Herodius,anonymous_angelus.predicted_лем.csv,2.0,False
395,Heremus,anonymous_angelus.predicted_лем.csv,1.0,True
396,Hermon,anonymous_angelus.predicted_лем.csv,1.0,True
397,Hydropicus,anonymous_angelus.predicted_лем.csv,1.0,True
398,hiems,anonymous_angelus.predicted_лем.csv,2.0,False
399,Hyaena,anonymous_angelus.predicted_лем.csv,1.0,True
